주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
KL-260201-0001,2026-02-01,16:27,컬리,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,대구,배송완료
KL-260201-0001,2026-02-01,16:27,컬리,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,대구,배송완료
KL-260201-0001,2026-02-01,16:27,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,대구,배송완료
CP-4000000002,2026-02-01,18:50,쿠팡,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,경기,배송완료
NV-260201-00003,2026-02-01,21:56,네이버,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,경기,교환완료
CP-4000000004,2026-02-01,15:56,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,경남,배송완료
CP-4000000004,2026-02-01,15:56,쿠팡,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,경남,배송완료
CP-4000000004,2026-02-01,15:56,쿠팡,MD상품,키링 mix man,NM-4000001,1,12000,12000,경남,배송완료
NV-260201-00005,2026-02-01,20:36,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,경기,배송완료
NV-260201-00005,2026-02-01,20:36,네이버,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,경기,배송완료
NV-260201-00006,2026-02-01,13:00,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,서울,배송완료
NV-260201-00006,2026-02-01,13:00,네이버,커피포,라즈베리말차 커피포,NM-2000017,3,15900,47700,서울,배송완료
NV-260201-00006,2026-02-01,13:00,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,서울,배송완료
NV-260201-00007,2026-02-01,23:01,네이버,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,서울,배송완료
NV-260201-00007,2026-02-01,23:01,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,서울,배송완료
