주문번호,날짜,시간,카테고리,상품명,SKU,수량,단가,합계,결제수단,고객국적
NB-2602-0001,2026-02-01,13:05,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,대만
NB-2602-0001,2026-02-01,13:05,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,카드,대만
NB-2602-0002,2026-02-01,12:29,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,한국
NB-2602-0002,2026-02-01,12:29,MD상품,북촌 에디션 토트백,NM-4000005,2,22000,44000,카드,한국
NB-2602-0003,2026-02-01,11:45,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,현금,일본
NB-2602-0003,2026-02-01,11:45,MD상품,북촌 에디션 토트백,NM-4000005,2,22000,44000,현금,일본
NB-2602-0003,2026-02-01,11:45,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,현금,일본
NB-2602-0004,2026-02-01,10:22,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,카드,한국
NB-2602-0004,2026-02-01,10:22,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NB-2602-0005,2026-02-01,16:43,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,대만
NB-2602-0005,2026-02-01,16:43,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,대만
NB-2602-0005,2026-02-01,16:43,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,카드,대만
NB-2602-0006,2026-02-01,12:44,스낵,오란다 오리지널,NM-3000003,2,4500,9000,카드,대만
NB-2602-0006,2026-02-01,12:44,MD상품,도자기컵,NM-4000003,2,28000,56000,카드,대만
NB-2602-0007,2026-02-01,13:35,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,간편결제,대만
NB-2602-0008,2026-02-01,12:48,MD상품,키링 포 모양,NM-4000002,1,12000,12000,현금,일본
NB-2602-0009,2026-02-01,15:20,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,동남아기타
NB-2602-0010,2026-02-01,11:43,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,미국
NB-2602-0011,2026-02-01,12:54,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,카드,태국
NB-2602-0011,2026-02-01,12:54,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,태국
NB-2602-0011,2026-02-01,12:54,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,카드,태국
NB-2602-0011,2026-02-01,12:54,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,태국
NB-2602-0012,2026-02-01,12:26,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,간편결제,중국
NB-2602-0012,2026-02-01,12:26,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,중국
NB-2602-0013,2026-02-01,13:13,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,일본
NB-2602-0013,2026-02-01,13:13,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,카드,일본
NB-2602-0013,2026-02-01,13:13,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,카드,일본
NB-2602-0013,2026-02-01,13:13,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,카드,일본
NB-2602-0014,2026-02-01,13:20,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,일본
NB-2602-0014,2026-02-01,13:20,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,간편결제,일본
NB-2602-0014,2026-02-01,13:20,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,간편결제,일본
NB-2602-0015,2026-02-01,11:53,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,카드,동남아기타
NB-2602-0015,2026-02-01,11:53,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,동남아기타
NB-2602-0015,2026-02-01,11:53,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,카드,동남아기타
NB-2602-0015,2026-02-01,11:53,스낵,오란다 오리지널,NM-3000003,3,4500,13500,카드,동남아기타
NB-2602-0016,2026-02-01,14:39,MD상품,북촌 에디션 토트백,NM-4000005,3,22000,66000,카드,태국
NB-2602-0016,2026-02-01,14:39,커피포,타로밀크티 커피포,NM-2000018,3,15900,47700,카드,태국
NB-2602-0016,2026-02-01,14:39,스낵,오란다 말차,NM-3000004,2,4500,9000,카드,태국
NB-2602-0017,2026-02-01,13:34,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NB-2602-0018,2026-02-01,12:09,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,간편결제,일본
NB-2602-0019,2026-02-01,11:57,커피포,말차라떼맛 커피포,NM-2000108,3,15900,47700,간편결제,일본
NB-2602-0019,2026-02-01,11:57,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,간편결제,일본
NB-2602-0019,2026-02-01,11:57,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,간편결제,일본
NB-2602-0020,2026-02-01,13:41,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,카드,기타
NB-2602-0020,2026-02-01,13:41,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,기타
NB-2602-0021,2026-02-01,11:26,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,동남아기타
NB-2602-0021,2026-02-01,11:26,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,동남아기타
NB-2602-0021,2026-02-01,11:26,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,동남아기타
NB-2602-0022,2026-02-01,16:28,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,일본
NB-2602-0022,2026-02-01,16:28,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,일본
NB-2602-0022,2026-02-01,16:28,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,카드,일본
NB-2602-0022,2026-02-01,16:28,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,일본
NB-2602-0023,2026-02-01,15:43,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,간편결제,일본
NB-2602-0023,2026-02-01,15:43,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,간편결제,일본
NB-2602-0023,2026-02-01,15:43,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,간편결제,일본
NB-2602-0024,2026-02-01,16:37,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,태국
NB-2602-0025,2026-02-01,11:56,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,대만
NB-2602-0025,2026-02-01,11:56,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,카드,대만
NB-2602-0026,2026-02-01,15:08,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,카드,일본
NB-2602-0026,2026-02-01,15:08,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,일본
NB-2602-0027,2026-02-01,13:24,스낵,오란다 말차,NM-3000004,2,4500,9000,간편결제,태국
NB-2602-0027,2026-02-01,13:24,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,간편결제,태국
NB-2602-0028,2026-02-01,17:30,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,카드,일본
NB-2602-0028,2026-02-01,17:30,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,카드,일본
NB-2602-0028,2026-02-01,17:30,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,카드,일본
