주문번호,날짜,시간,카테고리,상품명,SKU,수량,단가,합계,결제수단,고객국적
NM-2602-0001,2026-02-01,14:32,MD상품,키링 mix man,NM-4000001,1,12000,12000,카드,한국
NM-2602-0001,2026-02-01,14:32,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,카드,한국
NM-2602-0001,2026-02-01,14:32,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,카드,한국
NM-2602-0002,2026-02-01,16:49,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,간편결제,태국
NM-2602-0002,2026-02-01,16:49,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,태국
NM-2602-0002,2026-02-01,16:49,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,간편결제,태국
NM-2602-0003,2026-02-01,14:52,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,현금,한국
NM-2602-0003,2026-02-01,14:52,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,현금,한국
NM-2602-0004,2026-02-01,18:51,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,미국
NM-2602-0004,2026-02-01,18:51,커피포,라즈베리말차 커피포,NM-2000017,2,15900,31800,간편결제,미국
NM-2602-0005,2026-02-01,13:29,커피포,생일파티바닐라 커피포,NM-2000005,3,15900,47700,간편결제,일본
NM-2602-0005,2026-02-01,13:29,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,간편결제,일본
NM-2602-0005,2026-02-01,13:29,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,일본
NM-2602-0006,2026-02-01,12:57,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,동남아기타
NM-2602-0006,2026-02-01,12:57,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,간편결제,동남아기타
NM-2602-0007,2026-02-01,15:31,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,간편결제,중국
NM-2602-0007,2026-02-01,15:31,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,간편결제,중국
NM-2602-0008,2026-02-01,15:01,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,카드,동남아기타
NM-2602-0008,2026-02-01,15:01,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,동남아기타
NM-2602-0008,2026-02-01,15:01,MD상품,도자기컵,NM-4000003,1,28000,28000,카드,동남아기타
NM-2602-0009,2026-02-01,15:30,스낵,오란다 오리지널,NM-3000003,2,4500,9000,현금,일본
NM-2602-0009,2026-02-01,15:30,스낵,오란다 말차,NM-3000004,2,4500,9000,현금,일본
NM-2602-0009,2026-02-01,15:30,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,현금,일본
NM-2602-0009,2026-02-01,15:30,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,현금,일본
NM-2602-0010,2026-02-01,19:16,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,현금,유럽
NM-2602-0010,2026-02-01,19:16,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,현금,유럽
NM-2602-0010,2026-02-01,19:16,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,3,5500,16500,현금,유럽
NM-2602-0011,2026-02-01,14:12,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,대만
NM-2602-0012,2026-02-01,15:29,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,현금,홍콩
NM-2602-0012,2026-02-01,15:29,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,현금,홍콩
NM-2602-0013,2026-02-01,16:31,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,중국
NM-2602-0013,2026-02-01,16:31,스낵,오란다 오리지널,NM-3000003,3,4500,13500,간편결제,중국
NM-2602-0013,2026-02-01,16:31,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,간편결제,중국
NM-2602-0014,2026-02-01,16:50,MD상품,도자기컵,NM-4000003,3,28000,84000,카드,홍콩
NM-2602-0014,2026-02-01,16:50,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,카드,홍콩
NM-2602-0015,2026-02-01,14:04,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,카드,한국
NM-2602-0015,2026-02-01,14:04,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NM-2602-0015,2026-02-01,14:04,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NM-2602-0016,2026-02-01,11:00,스낵,오란다 오리지널,NM-3000003,2,4500,9000,간편결제,태국
NM-2602-0016,2026-02-01,11:00,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,태국
NM-2602-0017,2026-02-01,12:02,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,간편결제,한국
NM-2602-0017,2026-02-01,12:02,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,간편결제,한국
NM-2602-0017,2026-02-01,12:02,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,간편결제,한국
