,구분,구분,구분,매니저,시니어,바리스타,주니어0,주니어1,주니어2,PT,비고,,,,,
,,,기본시급,25000,22500,21250,20000,18750,18750,20000,,,,,,
,"직접노무비
(A)",기초인건비,기본급여,200000,180000,170000,160000,150000,150000,160000,주5회 8H 기준,,청구 금액,FA모스트,1750000,(vat 별도)
,"직접노무비
(A)",기초인건비,추가연장,,,,,,,,스케줄 외 근무발생 시,,청구 금액,렌트,972800,(vat 없음)
,"직접노무비
(A)",기초인건비,차감급여,,,,,,,,실근무 8시간 이하,,,,,
,"직접노무비
(A)",기초인건비,기본연장,37500,33750,31875,30000,28125,28125,0,실근무 8시간 이상,,,,,
,"직접노무비
(A)",기초인건비,기본 야간수당,,,,,,,,22시 이후 야간수당 발생,,,,,
,"직접노무비
(A)",기초인건비,추가 야간수당,,,,,,,,22시 이후 야간수당 발생(스케줄 이외),,,,,
,"직접노무비
(A)",기초인건비,대휴수당,,,,,,,,발생시 청구,,,,,
,"직접노무비
(A)",기초인건비,교육수당,,,,,,,,발생시 청구,,,,,
,"직접노무비
(A)",기초인건비,오픈 폐점 작업 인건비,,,,,,,,오픈 및 폐점 당일 발생시 청구(물류작업),,,,,
,"직접노무비
(A)",기초인건비,기타비용,,,,,,,,,,,,,
,인원수,인원수,인원수,,,,,,,,,,,,,
,소계,소계,소계,,,,,,,,,,,,,
,포지션 별 총 비용,포지션 별 총 비용,포지션 별 총 비용,,,,,,,,,,,,,
,총 합계,총 합계,총 합계,,,,,,,,VAT 별도,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1만원 할인적용 금액,1만원 할인적용 금액,,,,,,,
